risk_level,recommendation_1,recommendation_2,recommendation_3
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Medium,Improve consistency,Increase revision,Complete homework regularly
Low,Maintain study routine,Practice past papers,Focus on weak subjects
Low,Maintain study routine,Practice past papers,Focus on weak subjects
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
Medium,Improve consistency,Increase revision,Complete homework regularly
High,Increase study hours,Reduce screen time,Improve attendance
